rideid,startpoint,endpoint,starttime,endtime,vehicleid,subscriptionid,startlockid,endlockid
3806,"(51.2297,4.40572)","(51.1938,4.40228)",2019-09-23 07:12:32.000000,2019-09-23 07:27:19.000000,982,40181,611,3195
3807,"(51.2034,4.43677)","(51.2276,4.43921)",2019-09-23 07:37:33.000000,2019-09-23 07:48:06.000000,1594,66993,887,258
3808,"(51.2047,4.39625)","(51.243,4.43569)",2019-09-23 07:16:13.000000,2019-09-23 07:31:08.000000,701,44912,111,3977
3809,"(51.2192,4.47516)","(51.2142,4.4162)",2019-09-23 07:05:41.000000,2019-09-23 07:28:41.000000,1949,52572,7180,2335
3810,"(51.228,4.40221)","(51.1906,4.38893)",2019-09-23 07:55:04.000000,2019-09-23 08:07:02.000000,891,14816,2888,6283
3811,"(51.2148,4.39632)","(51.2064,4.4583)",2019-09-23 07:57:07.000000,2019-09-23 08:15:37.000000,478,28518,2356,4819
3812,"(51.25,4.4209)","(51.2536,4.4232)",2019-09-23 07:43:14.000000,2019-09-23 07:44:49.000000,2742,5321,3552,3494
3813,"(51.2032,4.42845)","(51.2431,4.44735)",2019-09-23 07:40:22.000000,2019-09-23 07:58:39.000000,466,27538,1839,4032
3814,"(51.206,4.39297)","(51.2228,4.42426)",2019-09-23 07:56:16.000000,2019-09-23 08:08:49.000000,1175,50843,737,2708
3815,"(51.2281,4.41173)","(51.2123,4.40364)",2019-09-23 07:51:39.000000,2019-09-23 07:57:54.000000,1850,50424,2813,3166
3816,"(51.2281,4.409)","(51.1754,4.41894)",2019-09-23 07:35:27.000000,2019-09-23 07:51:57.000000,1709,37365,11,7198
3817,"(51.2262,4.40961)","(51.1893,4.43561)",2019-09-23 07:09:09.000000,2019-09-23 07:22:28.000000,1262,34588,2859,5251
3818,"(51.1875,4.36355)","(51.2216,4.4005)",2019-09-23 07:28:15.000000,2019-09-23 07:42:50.000000,1809,6643,7082,615
3819,"(51.1836,4.39404)","(51.2299,4.41942)",2019-09-23 07:18:43.000000,2019-09-23 07:40:57.000000,108,50076,5658,3012
3820,"(51.2261,4.42638)","(51.2261,4.42638)",2019-09-23 07:43:45.000000,2019-09-23 07:43:45.000000,5686,47760,6547,6540
3821,"(51.2008,4.39808)","(51.2123,4.40364)",2019-09-23 07:40:57.000000,2019-09-23 07:45:11.000000,479,43761,1145,3133
3822,"(51.1825,4.3854)","(51.2299,4.41942)",2019-09-23 07:51:48.000000,2019-09-23 08:07:28.000000,1605,34683,5815,3020
3823,"(51.2191,4.3949)","(51.2228,4.42426)",2019-09-23 07:25:56.000000,2019-09-23 07:37:23.000000,4037,24475,2585,2704
3824,"(51.2177,4.42062)","(51.2148,4.39251)",2019-09-23 07:47:12.000000,2019-09-23 07:54:43.000000,3606,71671,2449,2362
3825,"(51.2221,4.43375)","(51.2047,4.38766)",2019-09-23 07:32:11.000000,2019-09-23 07:46:20.000000,1688,4098,2673,1909
3826,"(51.1971,4.4103)","(51.2123,4.40364)",2019-09-23 07:48:36.000000,2019-09-23 07:55:29.000000,1595,65454,1666,3161
3827,"(51.2092,4.40293)","(51.2047,4.39625)",2019-09-23 07:38:11.000000,2019-09-23 07:40:40.000000,1326,28221,2082,117
3828,"(51.2016,4.42358)","(51.2282,4.41337)",2019-09-23 07:11:46.000000,2019-09-23 07:21:16.000000,3982,28707,1015,631
3829,"(51.1931,4.408)","(51.2036,4.41518)",2019-09-23 07:39:30.000000,2019-09-23 07:43:58.000000,4097,23140,1606,832
3830,"(51.2103,4.39686)","(51.1735,4.35219)",2019-09-23 07:50:56.000000,2019-09-23 08:09:20.000000,1517,73176,918,6048
3831,"(51.2036,4.42548)","(51.2192,4.46007)",2019-09-23 07:06:32.000000,2019-09-23 07:17:33.000000,1710,76966,6585,4529
3832,"(51.2164,4.40598)","(51.2036,4.41518)",2019-09-23 07:27:03.000000,2019-09-23 07:32:32.000000,1759,43773,2404,844
3833,"(51.2195,4.41169)","(51.2055,4.39933)",2019-09-23 07:46:46.000000,2019-09-23 07:53:59.000000,5778,34413,171,3404
3834,"(51.2016,4.42358)","(51.2103,4.39686)",2019-09-23 07:22:30.000000,2019-09-23 07:34:37.000000,5547,23947,1030,916
3835,"(51.2036,4.41518)","(51.2016,4.42358)",2019-09-23 07:02:26.000000,2019-09-23 07:05:20.000000,894,1331,834,1019
3836,"(51.2171,4.40888)","(51.226,4.42343)",2019-09-23 07:02:39.000000,2019-09-23 07:07:44.000000,3676,60513,2429,1083
3837,"(51.1985,4.39071)","(51.2054,4.41352)",2019-09-23 07:49:14.000000,2019-09-23 07:58:02.000000,5696,14537,1688,1411
3838,"(51.211,4.40724)","(51.2354,4.4271)",2019-09-23 07:24:46.000000,2019-09-23 07:36:17.000000,1664,37374,2156,4199
3839,"(51.1875,4.36355)","(51.226,4.42343)",2019-09-23 07:50:38.000000,2019-09-23 08:10:41.000000,1823,6216,7110,1094
3840,"(51.2282,4.41337)","(51.1938,4.40228)",2019-09-23 07:56:10.000000,2019-09-23 08:11:31.000000,3737,65971,643,3199
3841,"(51.2088,4.40834)","(51.211,4.40724)",2019-09-23 07:56:06.000000,2019-09-23 07:56:57.000000,3815,58751,2037,2160
3842,"(51.2038,4.44423)","(51.2104,4.45252)",2019-09-23 07:25:56.000000,2019-09-23 07:29:17.000000,1968,74329,4914,4697
3843,"(51.1896,4.42166)","(51.211,4.39035)",2019-09-23 07:11:53.000000,2019-09-23 07:22:40.000000,609,4261,5185,2136
3844,"(51.2099,4.42248)","(51.1807,4.40899)",2019-09-23 07:32:51.000000,2019-09-23 07:44:00.000000,3730,72304,205,5502
3845,"(51.2041,4.46765)","(51.2041,4.46765)",2019-09-23 07:08:37.000000,2019-09-23 07:08:37.000000,1395,,5085,5085
3846,"(51.2192,4.46007)","(51.2251,4.46613)",2019-09-23 07:55:14.000000,2019-09-23 07:58:07.000000,5612,38752,4508,4432
3847,"(51.2174,4.37791)","(51.2174,4.37791)",2019-09-23 07:07:22.000000,2019-09-23 07:07:22.000000,1224,,6867,6867
3848,"(51.209,4.4377)","(51.2195,4.41169)",2019-09-23 07:30:50.000000,2019-09-23 07:42:27.000000,5678,36590,1782,169
3849,"(51.2078,4.39439)","(51.2259,4.40086)",2019-09-23 07:17:24.000000,2019-09-23 07:24:01.000000,4142,48549,1965,2833
3850,"(51.2088,4.40834)","(51.2123,4.40364)",2019-09-23 07:12:14.000000,2019-09-23 07:14:46.000000,161,76816,2047,3165
3851,"(51.2333,4.41391)","(51.228,4.41899)",2019-09-23 07:31:35.000000,2019-09-23 07:34:23.000000,1325,58358,4060,800
3852,"(51.226,4.42343)","(51.228,4.41899)",2019-09-23 07:43:43.000000,2019-09-23 07:45:02.000000,3676,36076,1083,791
3854,"(51.2148,4.39251)","(51.2299,4.43167)",2019-09-23 07:31:03.000000,2019-09-23 07:43:10.000000,124,1406,2369,3105
4336,"(51.2221,4.43375)","(51.2148,4.39251)",2019-09-22 07:42:21.000000,2019-09-22 07:59:53.000000,1680,6903,2670,2359
4337,"(51.24,4.43371)","(51.2008,4.39421)",2019-09-22 07:19:50.000000,2019-09-22 07:39:54.000000,4130,72780,6514,1741
4340,"(51.2521,4.43305)","(51.2313,4.421)",2019-09-22 07:20:07.000000,2019-09-22 07:26:39.000000,3629,53961,6906,3255
4341,"(51.2313,4.421)","(51.2281,4.41173)",2019-09-22 07:08:59.000000,2019-09-22 07:13:04.000000,1603,65565,3258,2821
4342,"(51.2345,4.40955)","(51.2217,4.42071)",2019-09-22 07:40:13.000000,2019-09-22 07:46:23.000000,5730,47184,4147,2656
4343,"(51.2294,4.41127)","(51.2299,4.43167)",2019-09-22 07:28:30.000000,2019-09-22 07:35:06.000000,3776,62847,3004,3101
4344,"(51.1709,4.34944)","(51.2088,4.38734)",2019-09-22 07:28:50.000000,2019-09-22 07:46:40.000000,1795,12221,6727,2021
4345,"(51.2269,4.40543)","(51.2062,4.38336)",2019-09-22 07:54:23.000000,2019-09-22 08:07:49.000000,1724,37029,2929,7523
4346,"(51.2032,4.42845)","(51.2261,4.42638)",2019-09-22 07:58:30.000000,2019-09-22 08:04:47.000000,3489,9238,1838,6569
4348,"(51.1711,4.3672)","(51.2299,4.43167)",2019-09-22 07:12:56.000000,2019-09-22 07:44:39.000000,1586,41746,6691,3102
4350,"(51.1851,4.43204)","(51.2224,4.43004)",2019-09-22 07:13:12.000000,2019-09-22 07:26:22.000000,2586,16520,5348,760
4352,"(51.1692,4.36344)","(51.2092,4.40293)",2019-09-22 07:02:14.000000,2019-09-22 07:26:09.000000,574,61565,6813,2080
4353,"(51.2055,4.39933)","(51.2186,4.43056)",2019-09-22 07:48:19.000000,2019-09-22 07:58:10.000000,3493,61960,3412,2536
4354,"(51.2191,4.3949)","(51.1744,4.40334)",2019-09-22 07:30:35.000000,2019-09-22 07:46:35.000000,1420,18614,2581,5620
4355,"(51.2119,4.39894)","(51.2272,4.42228)",2019-09-22 07:02:41.000000,2019-09-22 07:13:45.000000,2733,55858,2193,1542
4357,"(51.2609,4.42039)","(51.2195,4.41169)",2019-09-22 07:25:55.000000,2019-09-22 07:42:36.000000,3412,75319,3492,170
4358,"(51.2201,4.43269)","(51.1994,4.39013)",2019-09-22 07:54:44.000000,2019-09-22 08:12:09.000000,1081,5342,3118,128
4359,"(51.2036,4.41518)","(51.2281,4.41173)",2019-09-22 07:49:55.000000,2019-09-22 07:56:45.000000,3837,50598,841,2791
4361,"(51.2192,4.46007)","(51.211,4.40724)",2019-09-22 07:09:14.000000,2019-09-22 07:25:32.000000,1713,41141,4506,2148
4362,"(51.2211,4.39678)","(51.2186,4.43056)",2019-09-22 07:44:04.000000,2019-09-22 07:55:46.000000,166,48345,2625,2529
4363,"(51.2187,4.40066)","(51.2229,4.40622)",2019-09-22 07:18:24.000000,2019-09-22 07:20:48.000000,46,18955,74,1130
4364,"(51.2299,4.43167)","(51.2046,4.41057)",2019-09-22 07:19:08.000000,2019-09-22 07:29:35.000000,3815,11605,3110,1877
4365,"(51.2082,4.42433)","(51.1762,4.3677)",2019-09-22 07:25:37.000000,2019-09-22 07:51:39.000000,925,15175,1992,6102
4366,"(51.216,4.43997)","(51.2187,4.40066)",2019-09-22 07:30:03.000000,2019-09-22 07:43:52.000000,1261,67951,1319,75
4367,"(51.2279,4.37864)","(51.2033,4.3889)",2019-09-22 07:21:53.000000,2019-09-22 07:29:42.000000,1239,57462,298,3455
4368,"(51.167,4.38213)","(51.2313,4.421)",2019-09-22 07:44:46.000000,2019-09-22 08:08:40.000000,827,56667,6951,3239
4369,"(51.2276,4.43921)","(51.2273,4.4307)",2019-09-22 07:19:49.000000,2019-09-22 07:22:11.000000,5711,20766,259,1556
4370,"(51.2036,4.42548)","(51.2221,4.41835)",2019-09-22 07:46:50.000000,2019-09-22 07:55:15.000000,315,26771,6572,2609
4372,"(51.1771,4.39972)","(51.2047,4.38766)",2019-09-22 07:28:59.000000,2019-09-22 07:39:55.000000,3911,3760,5688,1915
4373,"(51.2186,4.43056)","(51.1999,4.41879)",2019-09-22 07:03:29.000000,2019-09-22 07:10:26.000000,1484,4122,2534,1727
4374,"(51.2036,4.42548)","(51.2276,4.38587)",2019-09-22 07:19:40.000000,2019-09-22 07:40:55.000000,279,228,6592,501
4376,"(51.2038,4.42077)","(51.248,4.43302)",2019-09-22 07:36:54.000000,2019-09-22 07:53:18.000000,1819,77575,1401,3853
4377,"(51.2177,4.42075)","(51.2228,4.42426)",2019-09-22 07:14:28.000000,2019-09-22 07:16:24.000000,1652,60772,22,2715
4378,"(51.211,4.40724)","(51.24,4.43371)",2019-09-22 07:33:05.000000,2019-09-22 07:48:19.000000,1713,18665,2148,6523
4379,"(51.1705,4.39471)","(51.2314,4.40357)",2019-09-22 07:08:41.000000,2019-09-22 07:28:58.000000,1758,71501,5588,536
4380,"(51.2078,4.46528)","(51.2183,4.41409)",2019-09-22 07:51:49.000000,2019-09-22 08:06:26.000000,242,27166,4756,2491
4381,"(51.2467,4.44015)","(51.2123,4.39402)",2019-09-22 07:23:24.000000,2019-09-22 07:38:49.000000,4200,30563,3881,2208
4382,"(51.2062,4.38336)","(51.2011,4.439)",2019-09-22 07:04:45.000000,2019-09-22 07:20:09.000000,1478,72351,7537,4944
4383,"(51.1721,4.33814)","(51.2333,4.40311)",2019-09-22 07:42:04.000000,2019-09-22 08:10:09.000000,3739,27713,6655,4118
4384,"(51.2216,4.40268)","(51.1772,4.37486)",2019-09-22 07:08:06.000000,2019-09-22 07:24:17.000000,1978,67978,2638,7130
4385,"(51.2082,4.42433)","(51.2038,4.42077)",2019-09-22 07:27:09.000000,2019-09-22 07:29:09.000000,2671,55446,1994,1392
4386,"(51.216,4.43997)","(51.2104,4.45252)",2019-09-22 07:03:17.000000,2019-09-22 07:08:43.000000,234,37515,1336,4708
4387,"(51.228,4.41899)","(51.2354,4.4271)",2019-09-22 07:07:46.000000,2019-09-22 07:10:58.000000,5613,11090,804,4196
4388,"(51.2509,4.44231)","(51.2189,4.4012)",2019-09-22 07:16:27.000000,2019-09-22 07:36:16.000000,3593,55097,3786,1506
4389,"(51.2241,4.43214)","(51.179,4.39048)",2019-09-22 07:05:32.000000,2019-09-22 07:33:35.000000,1487,21651,240,6424
4390,"(51.2195,4.41169)","(51.1807,4.40899)",2019-09-22 07:53:13.000000,2019-09-22 08:04:47.000000,41,49039,163,5511
4391,"(51.2019,4.39835)","(51.1692,4.36344)",2019-09-22 07:06:18.000000,2019-09-22 07:20:19.000000,3879,56630,3372,6831
4392,"(51.209,4.43266)","(51.2241,4.43214)",2019-09-22 07:41:26.000000,2019-09-22 07:45:28.000000,3422,11363,2059,242
4393,"(51.1938,4.41224)","(51.2229,4.40622)",2019-09-22 07:22:19.000000,2019-09-22 07:32:09.000000,3391,35652,1632,1111
4394,"(51.191,4.37669)","(51.2183,4.41409)",2019-09-22 07:16:44.000000,2019-09-22 07:34:56.000000,4180,20705,6208,2486
4395,"(51.179,4.39048)","(51.2311,4.41267)",2019-09-22 07:56:36.000000,2019-09-22 08:16:11.000000,1487,77942,6424,568
4396,"(51.2038,4.44423)","(51.2134,4.41328)",2019-09-22 07:47:52.000000,2019-09-22 07:57:06.000000,3576,9222,4905,1462
4397,"(51.2221,4.40467)","(51.228,4.41899)",2019-09-22 07:35:27.000000,2019-09-22 07:40:19.000000,3905,66304,2687,777
4398,"(51.2221,4.40467)","(51.2054,4.43226)",2019-09-22 07:25:04.000000,2019-09-22 07:34:48.000000,5601,25008,2700,1933
4399,"(51.2062,4.38336)","(51.1722,4.35627)",2019-09-22 07:46:22.000000,2019-09-22 07:59:10.000000,1724,63530,7523,7264
4400,"(51.213,4.42164)","(51.213,4.42164)",2019-09-22 07:39:43.000000,2019-09-22 07:39:43.000000,5506,72061,1178,1193
4402,"(51.226,4.42343)","(51.2297,4.40572)",2019-09-22 07:53:25.000000,2019-09-22 07:59:09.000000,1970,30547,1082,583
4403,"(51.2402,4.40843)","(51.2402,4.40843)",2019-09-22 07:30:41.000000,2019-09-22 07:30:41.000000,1052,,6464,6464
4405,"(51.213,4.42176)","(51.2182,4.41238)",2019-09-22 07:36:50.000000,2019-09-22 07:41:27.000000,3947,12720,2225,53
4406,"(51.1803,4.43375)","(51.206,4.39297)",2019-09-22 07:40:37.000000,2019-09-22 07:53:34.000000,3759,33058,5371,731
4407,"(51.2164,4.40598)","(51.2354,4.4271)",2019-09-22 07:56:44.000000,2019-09-22 08:05:17.000000,5739,38389,2403,4209
4408,"(51.2299,4.41942)","(51.2187,4.40066)",2019-09-22 07:23:19.000000,2019-09-22 07:31:18.000000,779,43164,3011,74
4409,"(51.2243,4.39907)","(51.2062,4.38336)",2019-09-22 07:20:37.000000,2019-09-22 07:28:06.000000,1143,41134,2736,7509
4410,"(51.2088,4.40834)","(51.2113,4.44198)",2019-09-22 07:53:16.000000,2019-09-22 08:04:23.000000,712,37282,2045,932
4411,"(51.1913,4.4436)","(51.2016,4.42358)",2019-09-22 07:53:51.000000,2019-09-22 08:00:02.000000,4089,56981,6612,1013
4412,"(51.2281,4.40573)","(51.2345,4.40955)",2019-09-22 07:02:35.000000,2019-09-22 07:04:57.000000,132,32092,2956,4129
4413,"(51.2299,4.43167)","(51.2192,4.46007)",2019-09-22 07:20:50.000000,2019-09-22 07:30:21.000000,503,1553,3097,4506
4414,"(51.2282,4.41337)","(51.2103,4.39686)",2019-09-22 07:28:38.000000,2019-09-22 07:38:32.000000,1226,27228,654,917
5075,"(51.2222,4.46118)","(51.2276,4.43921)",2019-09-22 00:00:00.000000,2019-09-22 00:06:03.000000,774,,4448,254
5076,"(51.2222,4.46118)","(51.2276,4.43921)",2019-09-22 00:00:00.000000,2019-09-22 00:06:57.000000,5722,,4449,255
5078,"(51.2222,4.46118)","(51.2276,4.43921)",2019-09-22 00:00:00.000000,2019-09-22 00:09:18.000000,1981,,4451,257
5080,"(51.2222,4.46118)","(51.2276,4.43921)",2019-09-22 00:00:00.000000,2019-09-22 00:07:40.000000,5711,,4454,259
5081,"(51.2222,4.46118)","(51.2276,4.43921)",2019-09-22 00:00:00.000000,2019-09-22 00:06:43.000000,5395,,4455,260
5082,"(51.2221,4.43375)","(51.2104,4.45252)",2019-09-22 00:20:12.000000,2019-09-22 00:29:36.000000,850,42683,2668,4705
5083,"(51.2299,4.43167)","(51.1951,4.41752)",2019-09-22 00:10:35.000000,2019-09-22 00:26:18.000000,2716,47038,3101,1651
5084,"(51.2311,4.41267)","(51.2305,4.40769)",2019-09-22 00:32:09.000000,2019-09-22 00:33:33.000000,1103,53635,571,4181
5085,"(51.2204,4.37858)","(51.2204,4.37858)",2019-09-22 00:35:38.000000,2019-09-22 00:35:38.000000,3530,,950,950
5086,"(51.1653,4.3939)","(51.228,4.41899)",2019-09-22 00:41:18.000000,2019-09-22 00:59:20.000000,5613,277,5703,804
5087,"(51.2055,4.39933)","(51.213,4.42164)",2019-09-22 00:53:31.000000,2019-09-22 01:00:55.000000,5610,30227,3397,1172
5088,"(51.2189,4.4012)","(51.2297,4.40572)",2019-09-22 00:44:21.000000,2019-09-22 00:47:42.000000,529,40648,1499,589
5089,"(51.2318,4.42699)","(51.1803,4.38105)",2019-09-22 00:32:21.000000,2019-09-22 00:51:39.000000,786,24137,3093,5854
5090,"(51.2261,4.42638)","(51.2145,4.44373)",2019-09-22 00:56:59.000000,2019-09-22 01:06:28.000000,1107,59484,6545,3048
5091,"(51.2016,4.42358)","(51.2299,4.41942)",2019-09-22 00:57:33.000000,2019-09-22 01:07:26.000000,779,76385,1032,3011
5093,"(51.2092,4.40293)","(51.2345,4.40955)",2019-09-22 00:30:17.000000,2019-09-22 00:40:01.000000,1087,77403,2087,4139
5094,"(51.2276,4.43921)","(51.2609,4.42039)",2019-09-22 00:21:29.000000,2019-09-22 00:33:38.000000,1981,38900,257,3483
5095,"(51.2189,4.4012)","(51.2088,4.38734)",2019-09-22 00:06:15.000000,2019-09-22 00:11:05.000000,554,13084,1505,2019
5096,"(51.211,4.39035)","(51.2125,4.40924)",2019-09-22 00:11:46.000000,2019-09-22 00:17:38.000000,1796,13390,2137,703
5097,"(51.1887,4.3977)","(51.1994,4.39013)",2019-09-22 00:16:30.000000,2019-09-22 00:21:16.000000,324,28765,6350,160
5098,"(51.213,4.42176)","(51.1831,4.42431)",2019-09-22 00:41:54.000000,2019-09-22 00:52:58.000000,903,28854,2235,5470
5099,"(51.228,4.41899)","(51.2211,4.39678)",2019-09-22 00:13:15.000000,2019-09-22 00:20:10.000000,3931,43552,801,2612
5100,"(51.2088,4.38734)","(51.1906,4.38893)",2019-09-22 00:39:02.000000,2019-09-22 00:44:55.000000,5519,72659,2021,6282
5101,"(51.2467,4.44015)","(51.2216,4.4005)",2019-09-22 00:07:10.000000,2019-09-22 00:20:50.000000,1022,40672,3883,626
5102,"(51.2018,4.40607)","(51.1886,4.42959)",2019-09-22 00:05:54.000000,2019-09-22 00:13:57.000000,868,77739,1818,5226
5104,"(51.2333,4.41391)","(51.2019,4.39835)",2019-09-22 00:25:28.000000,2019-09-22 00:36:46.000000,2624,67238,4080,3374
5105,"(51.2216,4.40268)","(51.2041,4.46765)",2019-09-22 00:53:43.000000,2019-09-22 01:12:56.000000,3968,49667,2637,5088
5106,"(51.2179,4.41777)","(51.1971,4.4103)",2019-09-22 00:41:11.000000,2019-09-22 00:47:36.000000,1559,54808,980,1660
5107,"(51.2008,4.39421)","(51.2174,4.42002)",2019-09-22 00:33:55.000000,2019-09-22 00:42:44.000000,1231,65425,1746,1366
5108,"(51.2313,4.421)","(51.1851,4.43204)",2019-09-22 00:02:58.000000,2019-09-22 00:18:56.000000,1074,42106,3254,5358
5109,"(51.2182,4.40617)","(51.2171,4.40888)",2019-09-22 00:34:25.000000,2019-09-22 00:35:13.000000,1921,6927,2472,2414
5110,"(51.1749,4.35996)","(51.2241,4.43214)",2019-09-22 00:27:36.000000,2019-09-22 00:51:01.000000,1487,65123,7053,240
5112,"(51.2033,4.3889)","(51.1985,4.39071)",2019-09-22 00:31:22.000000,2019-09-22 00:33:31.000000,4031,7614,3450,1675
5113,"(51.213,4.42176)","(51.2431,4.44735)",2019-09-22 00:54:37.000000,2019-09-22 01:07:19.000000,584,11233,2245,4049
5115,"(51.2034,4.39221)","(51.2305,4.40769)",2019-09-22 00:28:23.000000,2019-09-22 00:39:12.000000,1937,13770,1858,4187
5116,"(51.2183,4.41409)","(51.2125,4.40924)",2019-09-22 00:58:08.000000,2019-09-22 01:00:34.000000,502,33053,2503,714
5117,"(51.1938,4.40228)","(51.2187,4.40066)",2019-09-22 00:29:25.000000,2019-09-22 00:37:35.000000,1794,28972,3185,78
5118,"(51.2177,4.42075)","(51.2279,4.37864)",2019-09-22 00:39:50.000000,2019-09-22 00:55:00.000000,1823,24215,21,291
5119,"(51.2276,4.43921)","(51.2254,4.4184)",2019-09-22 00:33:38.000000,2019-09-22 00:41:59.000000,971,41609,269,2787
5120,"(51.1817,4.35806)","(51.2099,4.39098)",2019-09-22 00:28:16.000000,2019-09-22 00:41:56.000000,187,8385,6922,2101
5121,"(51.2077,4.39846)","(51.2292,4.46783)",2019-09-22 00:52:36.000000,2019-09-22 01:14:07.000000,2644,55674,1948,4370
5122,"(51.2297,4.40572)","(51.2276,4.43921)",2019-09-22 00:09:02.000000,2019-09-22 00:24:00.000000,287,62284,591,257
5123,"(51.2195,4.41169)","(51.2032,4.42845)",2019-09-22 00:16:11.000000,2019-09-22 00:24:01.000000,3553,57226,178,1854
5124,"(51.1807,4.40899)","(51.2269,4.40543)",2019-09-22 00:13:52.000000,2019-09-22 00:30:35.000000,420,13779,5491,2901
5125,"(51.2047,4.38766)","(51.2231,4.38624)",2019-09-22 00:23:12.000000,2019-09-22 00:30:09.000000,1567,64011,1912,412
5126,"(51.2211,4.39678)","(51.1851,4.43204)",2019-09-22 00:23:19.000000,2019-09-22 00:37:23.000000,3931,4016,2612,5333
5127,"(51.2055,4.39933)","(51.2553,4.43578)",2019-09-22 00:51:18.000000,2019-09-22 01:16:14.000000,3824,54761,3403,3744
5129,"(51.2019,4.39835)","(51.1832,4.36413)",2019-09-22 00:38:34.000000,2019-09-22 00:55:12.000000,2624,31330,3374,5905
5130,"(51.2261,4.42638)","(51.1971,4.4103)",2019-09-22 00:07:06.000000,2019-09-22 00:20:02.000000,461,58262,6551,1667
5131,"(51.2082,4.42433)","(51.213,4.42176)",2019-09-22 00:56:52.000000,2019-09-22 00:58:51.000000,652,37003,1989,2218
5132,"(51.2269,4.40543)","(51.1885,4.3727)",2019-09-22 00:09:29.000000,2019-09-22 00:31:05.000000,420,28305,2901,6136
5134,"(51.2305,4.40769)","(51.2047,4.39625)",2019-09-22 00:30:57.000000,2019-09-22 00:39:31.000000,855,53696,4169,119
5135,"(51.2173,4.42017)","(51.1875,4.36355)",2019-09-22 00:14:48.000000,2019-09-22 00:41:41.000000,1640,23452,3213,7105
5136,"(51.2123,4.40364)","(51.2311,4.41267)",2019-09-22 00:06:37.000000,2019-09-22 00:12:38.000000,686,23373,3162,563
5137,"(51.2281,4.41173)","(51.25,4.4209)",2019-09-22 00:32:58.000000,2019-09-22 00:39:43.000000,2690,28019,2807,3545
5138,"(51.2058,4.39879)","(51.1767,4.38241)",2019-09-22 00:49:19.000000,2019-09-22 00:58:19.000000,1887,3714,1446,5763
5139,"(51.2125,4.40924)","(51.2263,4.45196)",2019-09-22 00:16:54.000000,2019-09-22 00:28:51.000000,502,12852,714,4300
5140,"(51.2254,4.4184)","(51.228,4.41899)",2019-09-22 00:37:50.000000,2019-09-22 00:38:38.000000,982,60729,2788,803
5141,"(51.2224,4.43004)","(51.2333,4.41391)",2019-09-22 00:50:38.000000,2019-09-22 00:57:42.000000,206,46773,758,4057
5142,"(51.2251,4.46613)","(51.2055,4.39933)",2019-09-22 00:09:38.000000,2019-09-22 00:40:19.000000,3426,23406,4426,3387
5143,"(51.206,4.39297)","(51.1836,4.39404)",2019-09-22 00:41:04.000000,2019-09-22 00:49:22.000000,1985,53048,735,5652
5144,"(51.2473,4.44902)","(51.2229,4.40622)",2019-09-22 00:30:12.000000,2019-09-22 00:44:27.000000,1139,43570,3908,1113
5145,"(51.2033,4.3889)","(51.1682,4.39444)",2019-09-22 00:16:44.000000,2019-09-22 00:27:45.000000,796,56011,3448,5737
5146,"(51.2034,4.39221)","(51.2158,4.40314)",2019-09-22 00:49:55.000000,2019-09-22 00:55:28.000000,111,62594,1870,2378
5147,"(51.2279,4.37864)","(51.2299,4.43167)",2019-09-22 01:00:00.000000,2019-09-22 01:17:54.000000,503,,289,3097
5148,"(51.2279,4.37864)","(51.2299,4.43167)",2019-09-22 01:00:00.000000,2019-09-22 01:14:45.000000,1728,,290,3098
5149,"(51.2279,4.37864)","(51.2299,4.43167)",2019-09-22 01:00:00.000000,2019-09-22 01:17:39.000000,1823,,291,3099
5150,"(51.2279,4.37864)","(51.2299,4.43167)",2019-09-22 01:00:00.000000,2019-09-22 01:15:35.000000,1815,,292,3100
5152,"(51.2279,4.37864)","(51.2299,4.43167)",2019-09-22 01:00:00.000000,2019-09-22 01:21:41.000000,3572,,294,3102
5153,"(51.2279,4.37864)","(51.2299,4.43167)",2019-09-22 01:00:00.000000,2019-09-22 01:20:43.000000,3597,,296,3103
5154,"(51.2046,4.41057)","(51.2276,4.43921)",2019-09-22 01:14:36.000000,2019-09-22 01:29:18.000000,1987,73057,1880,268
5155,"(51.2333,4.40311)","(51.1968,4.40579)",2019-09-22 01:58:36.000000,2019-09-22 02:09:51.000000,3546,73480,4117,683
5156,"(51.2088,4.38734)","(51.1926,4.42151)",2019-09-22 01:02:28.000000,2019-09-22 01:12:45.000000,3475,18337,2024,1588
5157,"(51.219,4.40405)","(51.2092,4.40293)",2019-09-22 01:37:19.000000,2019-09-22 01:41:01.000000,960,17497,58,2088
5158,"(51.2179,4.41777)","(51.1913,4.4436)",2019-09-22 01:33:59.000000,2019-09-22 01:46:33.000000,1961,33897,979,6615
5161,"(51.2276,4.38587)","(51.2313,4.421)",2019-09-22 01:30:58.000000,2019-09-22 01:40:33.000000,1305,18545,496,3226
5162,"(51.2314,4.40357)","(51.2467,4.44015)",2019-09-22 01:08:18.000000,2019-09-22 01:20:37.000000,1853,11090,536,3876
5164,"(51.2012,4.40224)","(51.2448,4.41434)",2019-09-22 01:44:05.000000,2019-09-22 01:56:16.000000,1897,77323,1791,3573
5165,"(51.211,4.40724)","(51.1672,4.35344)",2019-09-22 01:07:33.000000,2019-09-22 01:26:11.000000,5795,40562,2158,6767
5166,"(51.2211,4.39678)","(51.2313,4.39162)",2019-09-22 01:43:59.000000,2019-09-22 01:48:57.000000,5590,30214,2616,451
